district,date,active,confirmed,death,cured,confirmed15,death 15,confirmed 5,death 5
Maharashtra,9/3/2020,,2,0,0,89,2,14,0
Maharashtra,10/3/2020,,5,0,0,128,3,32,0
Maharashtra,11/3/2020,,2,0,0,124,3,32,0
Maharashtra,12/3/2020,,11,0,0,130,4,39,1
Maharashtra,13/03/20,,14,0,0,180,5,42,1
Maharashtra,14/03/20,,14,0,0,186,6,47,1
Maharashtra,15/03/20,,32,0,0,198,8,52,1
Maharashtra,16/03/20,,32,0,0,216,9,63,1
Maharashtra,17/03/20,,39,1,0,302,9,67,2
Maharashtra,18/03/20,,42,1,0,335,13,74,2
Maharashtra,19/03/20,,47,1,0,335,16,89,2
Maharashtra,20/03/20,,52,1,0,490,24,128,3
Maharashtra,21/03/20,,63,1,0,490,24,124,3
Maharashtra,22/03/20,,67,2,0,748,45,130,4
Maharashtra,23/03/20,,74,2,0,868,48,180,5
Maharashtra,24/03/20,,89,2,0,1018,64,186,6
Maharashtra,25/03/20,,128,3,1,1135,72,198,8
Maharashtra,26/03/20,,124,3,1,1364,97,216,9
Maharashtra,27/03/20,,130,4,15,1574,110,302,9
Maharashtra,28/03/20,,180,5,25,1761,127,335,13
Maharashtra,29/03/20,,186,6,25,1985,149,335,16
Maharashtra,30/03/20,,198,8,25,2337,160,490,24
Maharashtra,31/03/20,,216,9,39,2687,178,490,24
Maharashtra,1/4/2020,,302,9,39,2919,187,748,45
Maharashtra,2/4/2020,,335,13,42,3205,194,868,48
Maharashtra,3/4/2020,,335,16,42,3323,201,1018,64
Maharashtra,4/4/2020,,490,24,42,3651,211,1135,72
Maharashtra,5/4/2020,,490,24,42,4203,223,1364,97
Maharashtra,6/4/2020,,748,45,56,4669,232,1574,110
Maharashtra,7/4/2020,,868,48,56,5221,251,1761,127
Maharashtra,8/4/2020,,1018,64,79,5652,269,1985,149
Maharashtra,9/4/2020,,1135,72,117,6430,283,2337,160
Maharashtra,10/4/2020,,1364,97,125,6817,301,2687,178
Maharashtra,11/4/2020,,1574,110,188,7628,323,2919,187
Maharashtra,12/4/2020,,1761,127,208,8068,342,3205,194
Maharashtra,13/04/20,,1985,149,217,8590,369,3323,201
Maharashtra,14/04/20,,2337,160,229,9318,400,3651,211
Maharashtra,15/04/20,,2687,178,259,9915,432,4203,223
Maharashtra,16/04/20,,2919,187,295,10498,459,4669,232
Maharashtra,17/04/20,,3205,194,300,11506,485,5221,251
Maharashtra,18/04/20,,3323,201,331,12296,521,5652,269
Maharashtra,19/04/20,,3651,211,365,12974,548,6430,283
Maharashtra,20/04/20,,4203,223,507,14541,583,6817,301
Maharashtra,21/04/20,,4669,232,572,15525,617,7628,323
Maharashtra,22/04/20,,5221,251,722,16758,651,8068,342
Maharashtra,23/04/20,,5652,269,789,17974,694,8590,369
Maharashtra,24/04/20,,6430,283,840,19063,731,9318,400
Maharashtra,25/04/20,,6817,301,957,20228,779,9915,432
Maharashtra,26/04/20,,7628,323,1076,22171,832,10498,459
Maharashtra,27/04/20,,8068,342,1188,23401,868,11506,485
Maharashtra,28/04/20,,8590,369,1282,24427,921,12296,521
Maharashtra,29/04/20,,9318,400,1388,25922,975,12974,548
Maharashtra,30/04/20,,9915,432,1593,27524,1019,14541,583
Maharashtra,1/5/2020,,10498,459,1773,29100,1068,15525,617
Maharashtra,2/5/2020,,11506,485,1879,30706,1135,16758,651
Maharashtra,3/5/2020,,12296,521,2000,33053,1198,17974,694
Maharashtra,4/5/2020,,12974,548,2115,35058,1249,19063,731
Maharashtra,5/5/2020,,14541,583,2465,37136,1325,20228,779
Maharashtra,6/5/2020,,15525,617,2819,39297,1390,22171,832
Maharashtra,7/5/2020,,16758,651,3094,41642,1454,23401,868
Maharashtra,8/5/2020,,17974,694,3301,44582,1517,24427,921
Maharashtra,9/5/2020,,19063,731,3470,47190,1577,25922,975
Maharashtra,10/5/2020,,20228,779,3800,50231,1635,27524,1019
Maharashtra,11/5/2020,,22171,832,4199,52667,1695,29100,1068
Maharashtra,12/5/2020,,23401,868,4786,54758,1792,30706,1135
Maharashtra,13/05/20,,24427,921,5125,56948,1897,33053,1198
Maharashtra,14/05/20,,25922,975,5547,59546,1982,35058,1249
Maharashtra,15/05/20,,27524,1019,6059,62228,2098,37136,1325
Maharashtra,16/05/20,,29100,1068,6564,65168,2197,39297,1390
Maharashtra,17/05/20,,30706,1135,7088,67655,2286,41642,1454
Maharashtra,18/05/20,,33053,1198,7688,70013,2362,44582,1517
Maharashtra,19/05/20,,35058,1249,8437,72300,2465,47190,1577
Maharashtra,20/05/20,,37136,1325,9639,74860,2587,50231,1635
Maharashtra,21/05/20,,39297,1390,10318,77793,2710,52667,1695
Maharashtra,22/05/20,,41642,1454,11726,80229,2849,54758,1792
Maharashtra,23/05/20,,44582,1517,12583,82968,2969,56948,1897
Maharashtra,24/05/20,,47190,1577,13404,85975,3060,59546,1982
Maharashtra,25/05/20,,50231,1635,14600,88528,3169,62228,2098
Maharashtra,26/05/20,,52667,1695,15786,90787,3289,65168,2197
Maharashtra,27/05/20,,54758,1792,16954,94041,3438,67655,2286
Maharashtra,28/05/20,,56948,1897,17918,97648,3590,70013,2362
Maharashtra,29/05/20,,59546,1982,18616,101141,3717,72300,2465
Maharashtra,30/05/20,,62228,2098,26997,104568,3830,74860,2587
Maharashtra,31/05/20,,65168,2197,28081,107958,3950,77793,2710
Maharashtra,1/6/2020,,67655,2286,29329,110744,4128,80229,2849
Maharashtra,2/6/2020,,70013,2362,30108,113445,5537,82968,2969
Maharashtra,3/6/2020,,72300,2465,31333,116752,5651,85975,3060
Maharashtra,4/6/2020,,74860,2587,32329,120504,5751,88528,3169
Maharashtra,5/6/2020,,77793,2710,33681,124331,5893,90787,3289
Maharashtra,6/6/2020,,80229,2849,35156,128205,5984,94041,3438
Maharashtra,7/6/2020,,82968,2969,37390,132075,6170,97648,3590
Maharashtra,8/6/2020,,85975,3060,39314,135796,6283,101141,3717
Maharashtra,9/6/2020,,88528,3169,40975,139010,6531,104568,3830
Maharashtra,10/6/2020,,90787,3289,42638,142900,6739,107958,3950
Maharashtra,11/6/2020,,94041,3438,44517,147741,6931,110744,4128
Maharashtra,12/6/2020,,97648,3590,46078,152765,7106,113445,5537
Maharashtra,13/06/20,,101141,3717,47796,159133,7273,116752,5651
Maharashtra,14/06/20,,104568,3830,49346,164626,7429,120504,5751
Maharashtra,15/06/20,,107958,3950,50978,169883,7610,124331,5893
Maharashtra,16/06/20,,110744,4128,56049,174761,7855,128205,5984
Maharashtra,17/06/20,,113445,5537,57851,180298,8053,132075,6170
Maharashtra,18/06/20,,116752,5651,59166,186626,8178,135796,6283
Maharashtra,19/06/20,,120504,5751,60838,192990,8376,139010,6531
Maharashtra,20/06/20,,124331,5893,62773,200064,8671,142900,6739
Maharashtra,21/06/20,,128205,5984,64153,206619,8822,147741,6931
Maharashtra,22/06/20,,132075,6170,65744,211987,9026,152765,7106
Maharashtra,23/06/20,,135796,6283,67706,217121,9250,159133,7273
Maharashtra,24/06/20,,139010,6531,69631,223724,9448,164626,7429
Maharashtra,25/06/20,,142900,6739,73792,230599,9667,169883,7610
Maharashtra,26/06/20,,147741,6931,77453,238461,9893,174761,7855
Maharashtra,27/06/20,,152765,7106,79815,246600,10116,180298,8053
Maharashtra,28/06/20,,159133,7273,84245,254427,10289,186626,8178
Maharashtra,29/06/20,,164626,7429,86575,260924,10482,192990,8376
Maharashtra,30/06/20,,169883,7610,88960,267665,10695,200064,8671
Maharashtra,1/7/2020,,174761,7855,90911,275640,10928,206619,8822
Maharashtra,2/7/2020,,180298,8053,93154,284281,11194,211987,9026
Maharashtra,3/7/2020,,186626,8178,101172,292589,11452,217121,9250
Maharashtra,4/7/2020,,192990,8376,104687,300937,11596,223724,9448
Maharashtra,5/7/2020,,200064,8671,108082,310455,11854,230599,9667
Maharashtra,6/7/2020,,206619,8822,111740,318695,12030,238461,9893
